HourUTC,HourDK,MunicipalityNo,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,timestamp,date,hour,year,month,day
2025-11-01T00:00:00,2025-11-01T01:00:00,101,0,9.4592,,2.890035,157.469584,2025-11-01 00:00:00,2025-11-01,0,2025,11,1
2025-11-01T01:00:00,2025-11-01T02:00:00,101,0,7.7196,,2.487326,162.437651,2025-11-01 01:00:00,2025-11-01,1,2025,11,1
2025-11-01T02:00:00,2025-11-01T03:00:00,101,0,6.5711,,1.910595,165.648543,2025-11-01 02:00:00,2025-11-01,2,2025,11,1
2025-11-01T03:00:00,2025-11-01T04:00:00,101,0,3.4605,,1.066281,155.623775,2025-11-01 03:00:00,2025-11-01,3,2025,11,1
2025-11-01T04:00:00,2025-11-01T05:00:00,101,0,2.7481,,1.107267,172.10483,2025-11-01 04:00:00,2025-11-01,4,2025,11,1
2025-11-01T05:00:00,2025-11-01T06:00:00,101,0,3.2228,,1.632214,173.62587,2025-11-01 05:00:00,2025-11-01,5,2025,11,1
2025-11-01T06:00:00,2025-11-01T07:00:00,101,0.16,3.377,,1.77004,172.71974,2025-11-01 06:00:00,2025-11-01,6,2025,11,1
2025-11-01T07:00:00,2025-11-01T08:00:00,101,1.096,5.5375,,1.482983,170.459063,2025-11-01 07:00:00,2025-11-01,7,2025,11,1
2025-11-01T08:00:00,2025-11-01T09:00:00,101,3.247,4.6362,,1.82956,171.360729,2025-11-01 08:00:00,2025-11-01,8,2025,11,1
2025-11-01T09:00:00,2025-11-01T10:00:00,101,6.214,5.7752,,2.698475,166.423942,2025-11-01 09:00:00,2025-11-01,9,2025,11,1
2025-11-01T10:00:00,2025-11-01T11:00:00,101,4.833,8.5661,,3.53506,167.912262,2025-11-01 10:00:00,2025-11-01,10,2025,11,1
2025-11-01T11:00:00,2025-11-01T12:00:00,101,4.525,11.8461,,3.449713,170.963531,2025-11-01 11:00:00,2025-11-01,11,2025,11,1
2025-11-01T12:00:00,2025-11-01T13:00:00,101,2.607,9.6541,,3.980861,167.998386,2025-11-01 12:00:00,2025-11-01,12,2025,11,1
2025-11-01T13:00:00,2025-11-01T14:00:00,101,1.447,13.3067,,5.551509,171.958996,2025-11-01 13:00:00,2025-11-01,13,2025,11,1
2025-11-01T14:00:00,2025-11-01T15:00:00,101,0.511,14.5193,,5.116205,171.621723,2025-11-01 14:00:00,2025-11-01,14,2025,11,1
2025-11-01T15:00:00,2025-11-01T16:00:00,101,0.025,15.1413,,5.651373,175.479482,2025-11-01 15:00:00,2025-11-01,15,2025,11,1
2025-11-01T16:00:00,2025-11-01T17:00:00,101,0,25.175,,8.319185,174.235624,2025-11-01 16:00:00,2025-11-01,16,2025,11,1
2025-11-01T17:00:00,2025-11-01T18:00:00,101,0,18.9444,,5.838649,175.07115,2025-11-01 17:00:00,2025-11-01,17,2025,11,1
2025-11-01T18:00:00,2025-11-01T19:00:00,101,0,10.1677,,3.766985,181.344876,2025-11-01 18:00:00,2025-11-01,18,2025,11,1
2025-11-01T19:00:00,2025-11-01T20:00:00,101,0,9.641,,2.619173,177.673506,2025-11-01 19:00:00,2025-11-01,19,2025,11,1
2025-11-01T20:00:00,2025-11-01T21:00:00,101,0,4.5216,,1.048331,182.864322,2025-11-01 20:00:00,2025-11-01,20,2025,11,1
2025-11-01T21:00:00,2025-11-01T22:00:00,101,0,2.4174,,0.642947,178.530626,2025-11-01 21:00:00,2025-11-01,21,2025,11,1
2025-11-01T22:00:00,2025-11-01T23:00:00,101,0,2.7467,,0.867129,174.739408,2025-11-01 22:00:00,2025-11-01,22,2025,11,1
2025-11-01T23:00:00,2025-11-02T00:00:00,101,0,4.0004,,0.97572,175.238327,2025-11-01 23:00:00,2025-11-01,23,2025,11,1
2025-11-02T00:00:00,2025-11-02T01:00:00,101,0,2.069,,0.521346,178.582666,2025-11-02 00:00:00,2025-11-02,0,2025,11,2
2025-11-02T01:00:00,2025-11-02T02:00:00,101,0,3.1268,,0.774849,179.285024,2025-11-02 01:00:00,2025-11-02,1,2025,11,2
2025-11-02T02:00:00,2025-11-02T03:00:00,101,0,3.4228,,1.027901,173.277845,2025-11-02 02:00:00,2025-11-02,2,2025,11,2
2025-11-02T03:00:00,2025-11-02T04:00:00,101,0,4.4168,,1.150505,174.500881,2025-11-02 03:00:00,2025-11-02,3,2025,11,2
2025-11-02T04:00:00,2025-11-02T05:00:00,101,0,4.2636,,1.277855,179.572577,2025-11-02 04:00:00,2025-11-02,4,2025,11,2
2025-11-02T05:00:00,2025-11-02T06:00:00,101,0,4.704,,1.42301,177.320913,2025-11-02 05:00:00,2025-11-02,5,2025,11,2
2025-11-02T06:00:00,2025-11-02T07:00:00,101,0.017,5.7881,,1.482492,176.341335,2025-11-02 06:00:00,2025-11-02,6,2025,11,2
2025-11-02T07:00:00,2025-11-02T08:00:00,101,0.409,4.5322,,1.477272,180.383004,2025-11-02 07:00:00,2025-11-02,7,2025,11,2
2025-11-02T08:00:00,2025-11-02T09:00:00,101,2.164,5.0568,,1.622106,179.124498,2025-11-02 08:00:00,2025-11-02,8,2025,11,2
2025-11-02T09:00:00,2025-11-02T10:00:00,101,1.939,4.3735,,1.341351,178.030707,2025-11-02 09:00:00,2025-11-02,9,2025,11,2
2025-11-02T10:00:00,2025-11-02T11:00:00,101,0.904,6.8343,,2.033855,175.307543,2025-11-02 10:00:00,2025-11-02,10,2025,11,2
2025-11-02T11:00:00,2025-11-02T12:00:00,101,1.025,1.95,,0.703548,175.360294,2025-11-02 11:00:00,2025-11-02,11,2025,11,2
2025-11-02T12:00:00,2025-11-02T13:00:00,101,0.619,2.5125,,0.949697,181.789271,2025-11-02 12:00:00,2025-11-02,12,2025,11,2
2025-11-02T13:00:00,2025-11-02T14:00:00,101,0.554,2.4207,,0.796764,174.966274,2025-11-02 13:00:00,2025-11-02,13,2025,11,2
2025-11-02T14:00:00,2025-11-02T15:00:00,101,0.54,1.7938,,0.562215,171.026404,2025-11-02 14:00:00,2025-11-02,14,2025,11,2
2025-11-02T15:00:00,2025-11-02T16:00:00,101,0.025,1.7897,,0.477895,170.906452,2025-11-02 15:00:00,2025-11-02,15,2025,11,2
2025-11-02T16:00:00,2025-11-02T17:00:00,101,0,2.5374,,0.755687,171.207551,2025-11-02 16:00:00,2025-11-02,16,2025,11,2
2025-11-02T17:00:00,2025-11-02T18:00:00,101,0,2.0881,,0.644154,172.116397,2025-11-02 17:00:00,2025-11-02,17,2025,11,2
2025-11-02T18:00:00,2025-11-02T19:00:00,101,0,0.9962,,0.412396,176.149916,2025-11-02 18:00:00,2025-11-02,18,2025,11,2
2025-11-02T19:00:00,2025-11-02T20:00:00,101,0,1.4393,,0.56421,177.077844,2025-11-02 19:00:00,2025-11-02,19,2025,11,2
2025-11-02T20:00:00,2025-11-02T21:00:00,101,0,1.4142,,0.535329,174.23951,2025-11-02 20:00:00,2025-11-02,20,2025,11,2
2025-11-02T21:00:00,2025-11-02T22:00:00,101,0,1.5819,,0.555027,172.230184,2025-11-02 21:00:00,2025-11-02,21,2025,11,2
2025-11-02T22:00:00,2025-11-02T23:00:00,101,0,0.5741,,0.273854,170.389067,2025-11-02 22:00:00,2025-11-02,22,2025,11,2
2025-11-02T23:00:00,2025-11-03T00:00:00,101,0,0.1573,,0.243999,174.706479,2025-11-02 23:00:00,2025-11-02,23,2025,11,2
2025-11-03T00:00:00,2025-11-03T01:00:00,101,0,0.6497,,0.419311,178.442419,2025-11-03 00:00:00,2025-11-03,0,2025,11,3
2025-11-03T01:00:00,2025-11-03T02:00:00,101,0,0.8297,,0.379535,172.593888,2025-11-03 01:00:00,2025-11-03,1,2025,11,3
